ARO	AMR gene family	ARGs	Class	resistance mechanisms	Length
ARO:3000841	CGB beta-lactamase	CGB-1	carbapenem;cephalosporin;penam	antibiotic inactivation	242
ARO:3000842	EBR beta-lactamase	EBR-1	carbapenem;cephalosporin;penam	antibiotic inactivation	235
ARO:3000843	MUS beta-lactamase	MUS-1	carbapenem	antibiotic inactivation	246
ARO:3000844	TUS beta-lactamase	TUS-1	carbapenem;cephalosporin;cephamycin	antibiotic inactivation	248
ARO:3000845	GIM beta-lactamase	GIM-1	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	antibiotic inactivation	250
ARO:3000846	SIM beta-lactamase	SIM-1	carbapenem;cephalosporin;penam	antibiotic inactivation	246
ARO:3000847	KHM beta-lactamase	KHM-1	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	241
ARO:3000848	DIM beta-lactamase	DIM-1	carbapenem;cephalosporin	antibiotic inactivation	251
ARO:3000849	SFH beta-lactamase	SFH-1	carbapenem	antibiotic inactivation	234
ARO:3000850	GOB beta-lactamase	GOB-1	carbapenem;cephalosporin;penam	antibiotic inactivation	290
ARO:3000851	THIN-B beta-lactamase	THIN-B	carbapenem;cephalosporin;penam	antibiotic inactivation	316
ARO:3000853	AIM beta-lactamase	AIM-1	cephalosporin;cephamycin;penam	antibiotic inactivation	303
ARO:3000854	SMB beta-lactamase	SMB-1	carbapenem;cephalosporin;penam	antibiotic inactivation	280
ARO:3000855	CAU beta-lactamase	CAU-1	carbapenem;penam	antibiotic inactivation	289
ARO:3000856	BJP beta-lactamase	BJP-1	carbapenem	antibiotic inactivation	294
ARO:3000858	16S rRNA methyltransferase (G1405)	armA	aminoglycoside antibiotic	antibiotic target alteration	257
ARO:3000859	16S rRNA methyltransferase (G1405)	rmtA	aminoglycoside antibiotic	antibiotic target alteration	251
ARO:3000860	16S rRNA methyltransferase (G1405)	rmtB	aminoglycoside antibiotic	antibiotic target alteration	251
ARO:3000861	16S rRNA methyltransferase (G1405)	rmtC	aminoglycoside antibiotic	antibiotic target alteration	281
ARO:3000862	16S rRNA methyltransferase (G1405)	sgm	aminoglycoside antibiotic	antibiotic target alteration	274
ARO:3000865	ole glycosyltransferase	oleD	macrolide antibiotic	antibiotic inactivation	415
ARO:3000866	ole glycosyltransferase	oleI	macrolide antibiotic	antibiotic inactivation	424
ARO:3000873	TEM beta-lactamase	TEM-1	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000874	TEM beta-lactamase	TEM-2	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000875	TEM beta-lactamase	TEM-3	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000876	TEM beta-lactamase	TEM-4	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000877	TEM beta-lactamase	TEM-5	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000878	TEM beta-lactamase	TEM-6	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000879	TEM beta-lactamase	TEM-7	cephalosporin;monobactam;penam;penem	antibiotic inactivation	261
ARO:3000880	TEM beta-lactamase	TEM-8	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000881	TEM beta-lactamase	TEM-9	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000882	TEM beta-lactamase	TEM-10	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000883	TEM beta-lactamase	TEM-11	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000884	TEM beta-lactamase	TEM-12	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000886	TEM beta-lactamase	TEM-15	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000887	TEM beta-lactamase	TEM-16	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000888	TEM beta-lactamase	TEM-17	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000890	TEM beta-lactamase	TEM-19	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000891	TEM beta-lactamase	TEM-20	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000892	TEM beta-lactamase	TEM-21	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000893	TEM beta-lactamase	TEM-22	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000894	TEM beta-lactamase	TEM-24	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000896	TEM beta-lactamase	TEM-26	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000898	TEM beta-lactamase	TEM-28	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000899	TEM beta-lactamase	TEM-29	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000900	TEM beta-lactamase	TEM-30	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000901	TEM beta-lactamase	TEM-31	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000902	TEM beta-lactamase	TEM-32	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000903	TEM beta-lactamase	TEM-33	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000904	TEM beta-lactamase	TEM-34	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000905	TEM beta-lactamase	TEM-35	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000906	TEM beta-lactamase	TEM-36	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000907	TEM beta-lactamase	TEM-37	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000909	TEM beta-lactamase	TEM-39	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000910	TEM beta-lactamase	TEM-40	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000911	TEM beta-lactamase	TEM-42	cephalosporin;monobactam;penam;penem	antibiotic inactivation	281
ARO:3000912	TEM beta-lactamase	TEM-43	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000914	TEM beta-lactamase	TEM-45	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000916	TEM beta-lactamase	TEM-47	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000917	TEM beta-lactamase	TEM-48	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000918	TEM beta-lactamase	TEM-49	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000921	TEM beta-lactamase	TEM-52	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000922	TEM beta-lactamase	TEM-53	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000923	TEM beta-lactamase	TEM-54	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000924	TEM beta-lactamase	TEM-55	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000926	TEM beta-lactamase	TEM-57	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000928	TEM beta-lactamase	TEM-59	cephalosporin;monobactam;penam;penem	antibiotic inactivation	277
ARO:3000929	TEM beta-lactamase	TEM-60	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000931	TEM beta-lactamase	TEM-63	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000934	TEM beta-lactamase	TEM-67	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000935	TEM beta-lactamase	TEM-68	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000936	TEM beta-lactamase	TEM-70	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000937	TEM beta-lactamase	TEM-71	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000938	TEM beta-lactamase	TEM-72	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000939	TEM beta-lactamase	TEM-73	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000941	TEM beta-lactamase	TEM-75	cephalosporin;monobactam;penam;penem	antibiotic inactivation	261
ARO:3000942	TEM beta-lactamase	TEM-76	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000944	TEM beta-lactamase	TEM-78	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000946	TEM beta-lactamase	TEM-79	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000947	TEM beta-lactamase	TEM-80	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000948	TEM beta-lactamase	TEM-81	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000949	TEM beta-lactamase	TEM-82	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000950	TEM beta-lactamase	TEM-83	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000951	TEM beta-lactamase	TEM-84	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000952	TEM beta-lactamase	TEM-85	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000953	TEM beta-lactamase	TEM-86	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000954	TEM beta-lactamase	TEM-87	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000955	TEM beta-lactamase	TEM-88	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000956	TEM beta-lactamase	TEM-89	cephalosporin;monobactam;penam;penem	antibiotic inactivation	278
ARO:3000957	TEM beta-lactamase	TEM-90	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000958	TEM beta-lactamase	TEM-91	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000959	TEM beta-lactamase	TEM-92	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000960	TEM beta-lactamase	TEM-93	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000961	TEM beta-lactamase	TEM-94	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000962	TEM beta-lactamase	TEM-95	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000963	TEM beta-lactamase	TEM-96	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000964	TEM beta-lactamase	TEM-101	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000965	TEM beta-lactamase	TEM-102	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000967	TEM beta-lactamase	TEM-104	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000968	TEM beta-lactamase	TEM-105	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000969	TEM beta-lactamase	TEM-106	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000970	TEM beta-lactamase	TEM-107	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000971	TEM beta-lactamase	TEM-108	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000972	TEM beta-lactamase	TEM-109	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000973	TEM beta-lactamase	TEM-110	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000974	TEM beta-lactamase	TEM-111	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000975	TEM beta-lactamase	TEM-112	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000976	TEM beta-lactamase	TEM-113	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000977	TEM beta-lactamase	TEM-114	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000978	TEM beta-lactamase	TEM-115	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000979	TEM beta-lactamase	TEM-116	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000980	TEM beta-lactamase	TEM-117	cephalosporin;monobactam;penam;penem	antibiotic inactivation	255
ARO:3000981	TEM beta-lactamase	TEM-118	cephalosporin;monobactam;penam;penem	antibiotic inactivation	261
ARO:3000982	TEM beta-lactamase	TEM-120	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000983	TEM beta-lactamase	TEM-121	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000984	TEM beta-lactamase	TEM-122	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000985	TEM beta-lactamase	TEM-123	cephalosporin;monobactam;penam;penem	antibiotic inactivation	285
ARO:3000986	TEM beta-lactamase	TEM-124	cephalosporin;monobactam;penam;penem	antibiotic inactivation	285
ARO:3000987	TEM beta-lactamase	TEM-125	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000988	TEM beta-lactamase	TEM-126	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000989	TEM beta-lactamase	TEM-127	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000990	TEM beta-lactamase	TEM-128	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000993	TEM beta-lactamase	TEM-129	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000994	TEM beta-lactamase	TEM-130	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000995	TEM beta-lactamase	TEM-131	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000996	TEM beta-lactamase	TEM-132	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000997	TEM beta-lactamase	TEM-133	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000998	TEM beta-lactamase	TEM-134	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3000999	TEM beta-lactamase	TEM-135	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001000	TEM beta-lactamase	TEM-136	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001001	TEM beta-lactamase	TEM-137	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001002	TEM beta-lactamase	TEM-138	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001003	TEM beta-lactamase	TEM-139	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001004	TEM beta-lactamase	TEM-141	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001005	TEM beta-lactamase	TEM-142	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001006	TEM beta-lactamase	TEM-143	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001007	TEM beta-lactamase	TEM-144	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001012	TEM beta-lactamase	TEM-145	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001013	TEM beta-lactamase	TEM-146	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001014	TEM beta-lactamase	TEM-147	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001015	TEM beta-lactamase	TEM-148	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001016	TEM beta-lactamase	TEM-149	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001017	TEM beta-lactamase	TEM-150	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001018	TEM beta-lactamase	TEM-151	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001019	TEM beta-lactamase	TEM-152	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001020	TEM beta-lactamase	TEM-154	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001021	TEM beta-lactamase	TEM-155	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001022	TEM beta-lactamase	TEM-156	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001023	TEM beta-lactamase	TEM-157	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001024	TEM beta-lactamase	TEM-158	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001025	TEM beta-lactamase	TEM-159	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001026	TEM beta-lactamase	TEM-160	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001028	TEM beta-lactamase	TEM-162	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001029	TEM beta-lactamase	TEM-163	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001030	TEM beta-lactamase	TEM-164	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001032	TEM beta-lactamase	TEM-166	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
ARO:3001033	TEM beta-lactamase	TEM-167	cephalosporin;monobactam;penam;penem	antibiotic inactivation	286
